Lote 319215, Stock:, 1.91 a 0 (1.91),costo,7874.000000, valor,15039.34 
Lote 21426715, Stock:, 1.4 a 0 (1.4),costo,7874.000000, valor,11023.6 
Lote 7446914, Stock:, 3.15 a 0 (3.15),costo,7874.000000, valor,24803.1 
Lote 23036517, Stock:, 17.05 a 0 (17.05),costo,7874.000000, valor,134251.7 
Lote 315915, Stock:, 1.9 a 0 (1.9),costo,7874.000000, valor,14960.6 
Lote 5547416, Stock:, 4.12 a 0 (4.12),costo,7874.000000, valor,32440.88 
Lote 7979818, Stock:, 1.42 a 0 (1.42),costo,7874.000000, valor,11181.08 
Lote 13775317, Stock:, 3.42 a 0 (3.42),costo,7874.000000, valor,26929.08 
Lote 15253915, Stock:, 1.36 a 0 (1.36),costo,11712.000000, valor,15928.32 
Lote 3296317, Stock:, 1.5 a 0 (1.5),costo,11712.000000, valor,17568 
Lote 11593416, Stock:, 0.25 a 0 (0.25),costo,52960.000000, valor,13240 
Lote 1810514, Stock:, 2 a 0 (2),costo,7067.000000, valor,14134 
Lote 20856315, Stock:, 1 a 0 (1),costo,8812.000000, valor,8812 
Lote 21258818, Stock:, 2.25 a 0 (2.25),costo,8812.000000, valor,19827 
Lote 996117, Stock:, 1.18 a 0 (1.18),costo,8812.000000, valor,10398.16 
Lote 21258718, Stock:, 1.75 a 0 (1.75),costo,8812.000000, valor,15421 
Lote 21257018, Stock:, 4 a 0 (4),costo,8812.000000, valor,35248 
Lote 398716, Stock:, 1.7 a 0 (1.7),costo,89509.000000, valor,152165.3 
Lote 14017418, Stock:, 0.4 a 0 (0.4),costo,72454.000000, valor,28981.6 
Lote 16155615, Stock:, 0.1 a 0 (0.1),costo,72454.000000, valor,7245.4 
Lote 13960018, Stock:, 0.38 a 0 (0.38),costo,72454.000000, valor,27532.52 
Lote 16440915, Stock:, 1 a 0 (1),costo,72454.000000, valor,72454 
Lote 13034217, Stock:, 0.9 a 0 (0.9),costo,72454.000000, valor,65208.6 
Lote 74615, Stock:, 0.85 a 0 (0.85),costo,32207.000000, valor,27375.95 
Lote 12295116, Stock:, 1.57 a 0 (1.57),costo,32207.000000, valor,50564.99 
Lote 2107416, Stock:, 1.08 a 0 (1.08),costo,32207.000000, valor,34783.56 
Lote 13259517, Stock:, 2.04 a 0 (2.04),costo,4113.000000, valor,8390.52 
Lote 15284817, Stock:, 16.05 a 0 (16.05),costo,4113.000000, valor,66013.65 
